image_index,box_width,box_height,x1,y1,x2,y2,class
0,118,109,174,66,292,175,clementine
1,119,120,256,114,375,234,clementine
2,119,119,58,68,177,187,clementine
3,118,116,63,141,181,257,clementine
4,117,115,338,68,455,183,clementine
5,112,120,129,105,241,225,clementine
6,116,118,265,113,381,231,clementine
7,120,125,345,93,465,218,clementine
8,118,121,172,59,290,180,clementine
9,119,119,291,95,410,214,clementine
10,117,118,349,133,466,251,clementine
11,123,118,339,124,462,242,clementine
12,123,119,156,141,279,260,clementine
13,118,119,145,133,263,252,clementine
14,123,120,75,140,198,260,clementine
15,117,117,352,80,469,197,clementine
16,117,117,312,133,429,250,clementine
17,118,120,92,126,210,246,clementine
18,116,117,135,97,251,214,clementine
19,119,118,314,64,433,182,clementine
20,115,116,262,70,377,186,clementine
21,115,116,140,64,255,180,clementine
22,110,116,326,65,436,181,clementine
23,115,117,95,93,210,210,clementine
24,117,115,209,116,326,231,clementine
25,117,117,300,141,417,258,clementine
26,113,116,339,112,452,228,clementine
27,111,115,258,98,369,213,clementine
28,117,115,66,67,183,182,clementine
29,115,117,219,141,334,258,clementine
30,112,117,319,59,431,176,clementine
31,114,113,289,99,403,212,clementine
32,112,115,161,125,273,240,clementine
33,114,116,246,143,360,259,clementine
34,115,112,310,51,425,163,clementine
35,116,117,256,143,372,260,clementine
36,115,115,241,64,356,179,clementine
37,114,116,181,141,295,257,clementine
38,119,114,118,141,237,255,clementine
39,119,112,289,134,408,246,clementine
40,121,115,274,99,395,214,clementine
41,124,113,107,54,231,167,clementine
42,111,116,358,107,469,223,clementine
43,126,115,199,83,325,198,clementine
44,124,118,122,83,246,201,clementine
45,125,116,215,54,340,170,clementine
46,124,118,268,138,392,256,clementine
47,123,116,284,92,407,208,clementine
48,122,118,317,61,439,179,clementine
49,124,118,319,111,443,229,clementine
50,117,120,85,132,202,252,clementine
51,115,119,310,58,425,177,clementine
52,117,117,105,67,222,184,clementine
53,115,117,113,78,228,195,clementine
54,113,122,177,67,290,189,clementine
55,114,123,182,67,296,190,clementine
56,117,121,120,71,237,192,clementine
57,115,116,164,139,279,255,clementine
58,119,123,316,88,435,211,clementine
59,116,117,157,83,273,200,clementine
60,117,119,217,103,334,222,clementine
61,121,119,341,77,462,196,clementine
62,121,119,274,109,395,228,clementine
63,119,120,320,134,439,254,clementine
64,118,117,212,102,330,219,clementine
65,117,117,63,115,180,232,clementine
66,115,119,76,116,191,235,clementine
67,118,116,61,54,179,170,clementine
68,117,120,228,85,345,205,clementine
69,115,115,345,99,460,214,clementine
70,118,115,306,141,424,256,clementine
71,126,117,132,117,258,234,clementine
72,127,110,62,81,189,191,clementine
73,125,112,344,166,469,278,clementine
74,124,115,310,104,434,219,clementine
75,125,116,127,158,252,274,clementine
76,126,117,103,104,229,221,clementine
77,131,115,223,77,354,192,clementine
78,130,112,106,113,236,225,clementine
79,115,115,345,99,460,214,clementine
80,118,115,306,141,424,256,clementine
81,126,117,132,117,258,234,clementine
82,127,110,62,81,189,191,clementine
83,125,112,344,166,469,278,clementine
84,124,115,310,104,434,219,clementine
85,125,116,127,158,252,274,clementine
86,126,117,103,104,229,221,clementine
87,131,115,223,77,354,192,clementine
88,130,112,106,113,236,225,clementine
89,121,115,96,149,217,264,clementine
90,125,115,156,140,281,255,clementine
91,122,114,311,141,433,255,clementine
92,122,113,58,125,180,238,clementine
93,121,112,256,96,377,208,clementine
94,122,115,230,125,352,240,clementine
95,122,111,239,106,361,217,clementine
96,124,112,181,88,305,200,clementine
97,119,115,297,151,416,266,clementine
98,118,112,66,97,184,209,clementine
99,122,113,308,161,430,274,clementine
100,119,112,194,142,313,254,clementine
101,121,114,271,126,392,240,clementine
102,122,110,230,143,352,253,clementine
103,119,114,318,161,437,275,clementine
104,118,113,265,125,383,238,clementine
105,120,111,178,143,298,254,clementine
106,119,113,87,151,206,264,clementine
107,122,112,224,131,346,243,clementine
108,124,110,52,151,176,261,clementine
109,127,112,320,110,447,222,clementine
110,128,107,207,116,335,223,clementine
111,128,111,245,162,373,273,clementine
112,129,109,129,143,258,252,clementine
113,128,107,244,97,372,204,clementine
114,127,111,211,139,338,250,clementine
115,126,107,243,98,369,205,clementine
116,126,107,90,121,216,228,clementine
117,126,112,179,165,305,277,clementine
118,126,108,154,126,280,234,clementine
119,125,113,183,125,308,238,clementine
120,130,110,268,81,398,191,clementine
121,128,109,282,111,410,220,clementine
122,126,109,91,150,217,259,clementine
123,126,113,117,121,243,234,clementine
124,123,110,192,143,315,253,clementine
125,127,115,75,137,202,252,clementine
126,122,115,166,105,288,220,clementine
127,124,116,268,123,392,239,clementine
128,127,116,196,146,323,262,clementine
129,127,113,58,108,185,221,clementine
130,123,117,330,153,453,270,clementine
131,126,115,225,92,351,207,clementine
132,122,114,290,141,412,255,clementine
133,125,115,235,75,360,190,clementine
134,125,117,175,88,300,205,clementine
135,125,113,165,110,290,223,clementine
136,124,113,236,100,360,213,clementine
137,128,119,224,114,352,233,clementine
138,126,114,229,119,355,233,clementine
139,122,118,252,155,374,273,clementine
140,124,115,187,163,311,278,clementine
141,124,106,204,131,328,237,clementine
142,125,106,327,87,452,193,clementine
143,119,105,59,75,178,180,clementine
144,121,105,98,118,219,223,clementine
145,121,106,138,90,259,196,clementine
146,123,107,76,94,199,201,clementine
147,121,104,348,93,469,197,clementine
148,119,105,123,84,242,189,clementine
149,116,106,118,98,234,204,clementine
150,120,106,260,65,380,171,clementine
151,119,103,196,114,315,217,clementine
152,121,110,312,125,433,235,clementine
153,124,106,198,119,322,225,clementine
154,121,103,201,74,322,177,clementine
155,120,102,57,79,177,181,clementine
156,125,103,344,59,469,162,clementine
157,119,106,332,127,451,233,clementine
158,121,105,286,103,407,208,clementine
159,125,104,59,116,184,220,clementine
160,122,108,122,72,244,180,clementine
161,121,109,123,133,244,242,clementine
162,122,109,114,64,236,173,clementine
163,113,105,357,90,470,195,clementine
164,125,107,194,98,319,205,clementine
165,121,110,334,77,455,187,clementine
166,125,110,122,67,247,177,clementine
167,125,107,243,93,368,200,clementine
168,125,107,249,59,374,166,clementine
169,122,108,282,63,404,171,clementine
170,125,111,77,114,202,225,clementine
171,125,108,174,59,299,167,clementine
172,125,109,298,88,423,197,clementine
173,120,109,90,108,210,217,clementine
174,122,112,164,134,286,246,clementine
175,123,110,179,82,302,192,clementine
176,122,111,285,94,407,205,clementine
177,125,106,164,118,289,224,clementine
178,121,110,102,69,223,179,clementine
179,127,109,153,142,280,251,clementine
180,123,110,250,69,373,179,clementine
181,122,107,138,115,260,222,clementine
182,126,108,327,58,453,166,clementine
183,127,108,298,61,425,169,clementine
184,125,109,234,150,359,259,clementine
185,121,106,122,57,243,163,clementine
186,122,106,285,61,407,167,clementine
187,123,108,327,94,450,202,clementine
188,119,110,322,62,441,172,clementine
189,123,108,105,142,228,250,clementine
190,121,106,343,112,464,218,clementine
191,114,107,355,105,469,212,clementine
192,118,106,92,65,210,171,clementine
193,122,106,254,69,376,175,clementine
194,118,106,173,117,291,223,clementine
195,120,105,242,147,362,252,clementine
196,119,105,308,135,427,240,clementine
197,115,104,240,75,355,179,clementine
198,118,105,92,118,210,223,clementine
199,117,109,122,96,239,205,clementine
200,124,104,251,85,375,189,clementine
201,120,105,117,56,237,161,clementine
202,119,109,167,136,286,245,clementine
203,122,104,278,61,400,165,clementine
204,116,108,123,135,239,243,clementine
205,119,102,58,135,177,237,clementine
206,117,106,145,127,262,233,clementine
207,118,107,185,66,303,173,clementine
208,123,108,345,148,468,256,clementine
209,126,105,206,96,332,201,clementine
210,126,103,205,97,331,200,clementine
211,126,105,206,95,332,200,clementine
212,126,103,205,98,331,201,clementine
213,126,103,206,98,332,201,clementine
214,124,102,206,98,330,200,clementine
215,124,105,206,95,330,200,clementine
216,124,102,207,98,331,200,clementine
217,125,102,208,98,333,200,clementine
218,125,102,209,98,334,200,clementine
219,125,101,209,98,334,199,clementine
220,125,102,208,97,333,199,clementine
221,124,102,210,98,334,200,clementine
222,124,102,211,97,335,199,clementine
223,124,102,210,97,334,199,clementine
224,123,102,212,97,335,199,clementine
225,127,103,210,97,337,200,clementine
226,124,102,212,97,336,199,clementine
227,127,102,211,98,338,200,clementine
228,126,103,214,98,340,201,clementine
229,127,104,214,97,341,201,clementine
230,127,104,215,98,342,202,clementine
231,127,104,216,98,343,202,clementine
232,127,104,216,98,343,202,clementine
233,127,104,216,98,343,202,clementine
234,127,104,215,98,342,202,clementine
235,125,104,218,98,343,202,clementine
236,126,104,215,99,341,203,clementine
237,126,104,215,99,341,203,clementine
238,127,104,214,99,341,203,clementine
239,126,104,212,99,338,203,clementine
240,127,105,212,99,339,204,clementine
241,128,105,211,99,339,204,clementine
242,129,105,209,100,338,205,clementine
243,127,105,212,99,339,204,clementine
244,128,105,212,99,340,204,clementine
245,128,105,212,100,340,205,clementine
246,127,105,209,99,336,204,clementine
247,129,104,206,99,335,203,clementine
248,127,105,208,99,335,204,clementine
249,126,106,207,98,333,204,clementine
250,126,106,207,98,333,204,clementine
251,128,105,204,99,332,204,clementine
252,127,106,205,99,332,205,clementine
253,124,105,207,98,331,203,clementine
254,125,104,206,98,331,202,clementine
255,125,104,204,98,329,202,clementine
256,126,105,204,97,330,202,clementine
257,126,105,200,96,326,201,clementine
258,125,103,206,97,331,200,clementine
259,124,102,204,98,328,200,clementine
260,125,102,205,98,330,200,clementine
261,124,102,204,98,328,200,clementine
262,124,103,204,98,328,201,clementine
263,125,106,202,95,327,201,clementine
264,124,103,208,96,332,199,clementine
265,123,104,201,96,324,200,clementine
266,121,103,204,96,325,199,clementine
267,123,101,204,99,327,200,clementine
268,122,104,204,96,326,200,clementine
269,122,105,204,96,326,201,clementine
270,125,106,202,95,327,201,clementine
271,125,107,203,94,328,201,clementine
272,125,105,202,96,327,201,clementine
273,126,105,202,96,328,201,clementine
274,126,106,202,96,328,202,clementine
275,125,104,202,97,327,201,clementine
276,125,104,202,98,327,202,clementine
277,124,104,203,98,327,202,clementine
278,126,105,202,99,328,204,clementine
279,121,116,214,94,335,210,clementine
280,121,116,212,94,333,210,clementine
281,120,116,213,94,333,210,clementine
282,122,114,212,93,334,207,clementine
283,121,115,214,93,335,208,clementine
284,120,115,216,94,336,209,clementine
285,121,114,215,94,336,208,clementine
286,122,115,212,93,334,208,clementine
287,121,116,211,93,332,209,clementine
288,123,115,208,93,331,208,clementine
289,127,115,209,93,336,208,clementine
290,125,114,208,94,333,208,clementine
291,125,115,208,94,333,209,clementine
292,126,114,207,94,333,208,clementine
293,126,114,207,94,333,208,clementine
294,127,114,207,94,334,208,clementine
295,125,114,209,94,334,208,clementine
296,125,114,210,93,335,207,clementine
297,123,113,212,94,335,207,clementine
298,123,114,213,94,336,208,clementine
299,121,114,214,94,335,208,clementine
300,120,113,216,94,336,207,clementine
301,119,113,217,94,336,207,clementine
302,120,113,216,94,336,207,clementine
303,120,113,216,94,336,207,clementine
304,119,113,217,94,336,207,clementine
305,117,113,221,94,338,207,clementine
306,118,112,223,94,341,206,clementine
307,117,112,223,94,340,206,clementine
308,118,113,224,93,342,206,clementine
309,117,113,224,94,341,207,clementine
310,117,113,223,93,340,206,clementine
311,118,112,225,94,343,206,clementine
312,118,112,228,93,346,205,clementine
313,118,112,228,94,346,206,clementine
314,119,112,228,94,347,206,clementine
315,119,111,228,94,347,205,clementine
316,121,111,229,94,350,205,clementine
317,123,111,229,94,352,205,clementine
318,125,111,228,93,353,204,clementine
319,126,111,226,93,352,204,clementine
320,128,111,224,93,352,204,clementine
321,127,112,225,93,352,205,clementine
322,126,113,226,93,352,206,clementine
323,127,113,226,93,353,206,clementine
324,127,114,227,93,354,207,clementine
325,126,113,227,93,353,206,clementine
326,127,114,226,93,353,207,clementine
327,126,114,227,93,353,207,clementine
328,123,115,227,93,350,208,clementine
329,120,114,224,93,344,207,clementine
330,122,115,219,93,341,208,clementine
331,122,115,216,93,338,208,clementine
332,121,115,216,94,337,209,clementine
333,121,114,216,94,337,208,clementine
334,121,115,216,93,337,208,clementine
335,121,114,216,94,337,208,clementine
336,122,115,212,93,334,208,clementine
337,122,115,211,93,333,208,clementine
338,121,116,211,92,332,208,clementine
339,126,114,207,94,333,208,clementine
340,126,114,208,93,334,207,clementine
341,124,114,208,93,332,207,clementine
342,124,114,208,94,332,208,clementine
343,121,114,212,94,333,208,clementine
344,120,113,213,94,333,207,clementine
345,120,114,215,93,335,207,clementine
346,120,114,217,94,337,208,clementine
347,120,114,215,94,335,208,clementine
348,121,113,231,93,352,206,clementine
349,130,112,200,118,330,230,clementine
350,131,112,199,118,330,230,clementine
351,128,112,200,118,328,230,clementine
352,127,111,201,119,328,230,clementine
353,131,113,201,112,332,225,clementine
354,131,111,201,115,332,226,clementine
355,131,112,200,116,331,228,clementine
356,132,112,198,117,330,229,clementine
357,132,115,198,116,330,231,clementine
358,132,113,198,117,330,230,clementine
359,134,113,196,117,330,230,clementine
360,129,113,198,118,327,231,clementine
361,130,111,198,120,328,231,clementine
362,131,112,197,117,328,229,clementine
363,130,113,198,117,328,230,clementine
364,130,112,198,117,328,229,clementine
365,130,112,199,117,329,229,clementine
366,128,112,199,117,327,229,clementine
367,129,112,199,117,328,229,clementine
368,129,111,199,117,328,228,clementine
369,128,112,199,117,327,229,clementine
370,128,110,199,118,327,228,clementine
371,128,112,200,117,328,229,clementine
372,127,112,200,117,327,229,clementine
373,126,110,203,118,329,228,clementine
374,128,111,202,117,330,228,clementine
375,125,110,201,119,326,229,clementine
376,125,108,202,119,327,227,clementine
377,126,108,202,119,328,227,clementine
378,124,108,204,119,328,227,clementine
379,124,107,204,119,328,226,clementine
380,124,107,203,119,327,226,clementine
381,124,107,203,119,327,226,clementine
382,125,107,203,119,328,226,clementine
383,124,107,203,119,327,226,clementine
384,125,107,203,119,328,226,clementine
385,127,107,205,120,332,227,clementine
386,127,105,206,119,333,224,clementine
387,127,105,204,118,331,223,clementine
388,128,105,205,119,333,224,clementine
389,129,104,204,119,333,223,clementine
390,128,105,206,119,334,224,clementine
391,129,105,206,119,335,224,clementine
392,129,104,206,119,335,223,clementine
393,129,104,206,119,335,223,clementine
394,128,104,207,119,335,223,clementine
395,128,104,207,119,335,223,clementine
396,129,104,206,119,335,223,clementine
397,131,104,204,120,335,224,clementine
398,130,110,205,117,335,227,clementine
399,127,107,207,120,334,227,clementine
400,129,110,207,117,336,227,clementine
401,129,108,207,120,336,228,clementine
402,127,109,207,120,334,229,clementine
403,126,109,208,119,334,228,clementine
404,127,110,206,120,333,230,clementine
405,127,111,205,120,332,231,clementine
406,129,109,202,121,331,230,clementine
407,125,111,205,120,330,231,clementine
408,126,111,202,120,328,231,clementine
409,126,110,202,120,328,230,clementine
410,130,110,200,120,330,230,clementine
411,124,110,206,119,330,229,clementine
412,124,110,207,119,331,229,clementine
413,123,110,207,119,330,229,clementine
414,125,111,203,119,328,230,clementine
415,126,112,205,118,331,230,clementine
416,123,110,207,119,330,229,clementine
417,124,110,207,118,331,228,clementine
418,124,110,207,118,331,228,clementine
