image_index,box_width,box_height,x1,y1,x2,y2,class
0,115,154,330,67,445,221,lime
1,114,153,314,49,428,202,lime
2,118,158,193,86,311,244,lime
3,114,140,179,35,293,175,lime
4,116,137,191,47,307,184,lime
5,118,146,134,107,252,253,lime
6,116,145,337,89,453,234,lime
7,122,143,276,105,398,248,lime
8,115,152,230,85,345,237,lime
9,121,144,274,105,395,249,lime
10,112,140,342,68,454,208,lime
11,116,145,227,92,343,237,lime
12,113,165,182,76,295,241,lime
13,118,145,109,76,227,221,lime
14,110,141,360,111,470,252,lime
15,121,145,178,126,299,271,lime
16,124,147,180,102,304,249,lime
17,115,136,354,118,469,254,lime
18,118,146,125,50,243,196,lime
19,119,154,102,114,221,268,lime
20,125,145,266,124,391,269,lime
21,113,163,153,72,266,235,lime
22,122,137,237,110,359,247,lime
23,110,158,359,122,469,280,lime
24,123,147,172,123,295,270,lime
25,121,146,94,118,215,264,lime
26,121,139,265,59,386,198,lime
27,122,153,221,104,343,257,lime
28,118,182,199,89,317,271,lime
29,123,153,330,117,453,270,lime
30,117,140,317,37,434,177,lime
31,123,152,77,124,200,276,lime
32,117,144,222,61,339,205,lime
33,119,145,261,95,380,240,lime
34,118,160,216,73,334,233,lime
35,116,137,299,53,415,190,lime
36,114,144,274,37,388,181,lime
37,116,151,347,100,463,251,lime
38,112,143,85,38,197,181,lime
39,116,147,295,87,411,234,lime
40,124,143,312,50,436,193,lime
41,113,143,193,89,306,232,lime
42,117,178,137,45,254,223,lime
43,106,209,325,17,431,226,lime
44,113,154,163,119,276,273,lime
45,115,151,141,81,256,232,lime
46,114,156,84,118,198,274,lime
47,111,145,277,101,388,246,lime
48,112,144,93,56,205,200,lime
49,131,191,173,17,304,208,lime
50,119,155,142,114,261,269,lime
51,114,157,189,39,303,196,lime
52,129,172,132,67,261,239,lime
53,96,176,374,32,470,208,lime
54,93,128,377,88,470,216,lime
55,117,139,257,61,374,200,lime
56,116,156,292,120,408,276,lime
57,113,145,160,84,273,229,lime
58,117,143,223,80,340,223,lime
59,117,145,224,124,341,269,lime
60,115,143,341,120,456,263,lime
61,116,146,238,86,354,232,lime
62,118,146,289,86,407,232,lime
63,119,143,326,97,445,240,lime
64,119,142,176,127,295,269,lime
65,118,143,113,126,231,269,lime
66,97,138,372,66,469,204,lime
67,112,156,208,84,320,240,lime
68,112,135,343,39,455,174,lime
69,117,137,142,56,259,193,lime
70,117,137,296,38,413,175,lime
71,118,138,248,56,366,194,lime
72,113,146,106,94,219,240,lime
73,117,141,117,92,234,233,lime
74,114,143,92,68,206,211,lime
75,116,141,208,75,324,216,lime
76,119,146,127,114,246,260,lime
77,116,140,203,103,319,243,lime
78,111,153,320,58,431,211,lime
79,121,138,282,52,403,190,lime
80,123,144,329,127,452,271,lime
81,120,138,245,53,365,191,lime
82,123,146,279,81,402,227,lime
83,116,161,153,74,269,235,lime
84,119,142,129,55,248,197,lime
85,122,140,93,98,215,238,lime
86,117,138,293,60,410,198,lime
87,120,140,319,63,439,203,lime
88,122,167,284,83,406,250,lime
89,109,154,361,88,470,242,lime
90,125,150,180,122,305,272,lime
91,122,140,237,74,359,214,lime
92,118,141,258,51,376,192,lime
93,119,149,173,104,292,253,lime
94,118,147,138,97,256,244,lime
95,116,151,110,124,226,275,lime
96,117,147,95,94,212,241,lime
97,117,133,161,41,278,174,lime
98,116,137,288,114,404,251,lime
99,120,137,264,51,384,188,lime
100,113,158,296,117,409,275,lime
101,77,140,391,91,468,231,lime
102,124,128,134,126,258,254,lime
103,97,142,373,109,470,251,lime
104,114,149,283,57,397,206,lime
105,115,138,249,47,364,185,lime
106,115,135,296,44,411,179,lime
107,127,138,121,100,248,238,lime
108,114,139,255,55,369,194,lime
109,115,141,98,54,213,195,lime
110,116,151,291,117,407,268,lime
111,113,153,321,54,434,207,lime
112,116,151,245,103,361,254,lime
113,120,137,123,37,243,174,lime
114,120,135,171,32,291,167,lime
115,122,138,222,44,344,182,lime
116,118,137,164,42,282,179,lime
117,119,139,322,60,441,199,lime
118,122,141,228,100,350,241,lime
119,126,137,108,52,234,189,lime
120,129,136,230,72,359,208,lime
121,127,144,334,118,461,262,lime
122,127,140,115,108,242,248,lime
123,115,154,350,96,465,250,lime
124,128,145,270,117,398,262,lime
125,125,140,59,70,184,210,lime
126,122,141,107,91,229,232,lime
127,123,137,131,87,254,224,lime
128,123,136,169,44,292,180,lime
129,122,139,129,85,251,224,lime
130,122,139,167,81,289,220,lime
131,121,139,273,43,394,182,lime
132,121,150,333,102,454,252,lime
133,124,138,314,50,438,188,lime
134,113,155,292,109,405,264,lime
135,122,141,134,44,256,185,lime
136,123,152,175,103,298,255,lime
137,121,138,195,28,316,166,lime
138,125,142,86,92,211,234,lime
139,120,137,295,84,415,221,lime
140,122,138,118,49,240,187,lime
141,121,146,334,121,455,267,lime
142,119,140,310,77,429,217,lime
143,119,134,113,33,232,167,lime
144,126,137,298,105,424,242,lime
145,114,157,231,68,345,225,lime
146,128,142,293,118,421,260,lime
147,123,135,73,35,196,170,lime
148,125,155,287,89,412,244,lime
149,125,142,170,84,295,226,lime
150,122,140,143,84,265,224,lime
151,125,138,315,95,440,233,lime
152,122,138,212,71,334,209,lime
153,124,134,125,56,249,190,lime
154,121,130,344,88,465,218,lime
155,123,132,283,78,406,210,lime
156,113,155,152,98,265,253,lime
157,126,137,83,39,209,176,lime
158,123,143,307,105,430,248,lime
159,118,131,244,53,362,184,lime
160,120,137,113,81,233,218,lime
161,120,135,81,61,201,196,lime
162,121,134,310,43,431,177,lime
163,119,138,322,29,441,167,lime
164,119,135,179,35,298,170,lime
165,119,134,314,37,433,171,lime
166,125,138,90,50,215,188,lime
167,111,155,160,51,271,206,lime
168,128,137,325,31,453,168,lime
169,126,136,138,54,264,190,lime
170,125,136,206,28,331,164,lime
171,122,134,90,82,212,216,lime
172,127,137,182,81,309,218,lime
173,122,140,148,102,270,242,lime
174,125,136,211,73,336,209,lime
175,124,136,66,78,190,214,lime
176,123,133,262,36,385,169,lime
177,127,132,298,50,425,182,lime
178,122,158,180,117,302,275,lime
179,121,138,311,56,432,194,lime
180,119,139,77,64,196,203,lime
181,124,133,342,75,466,208,lime
182,122,143,156,110,278,253,lime
183,123,140,215,79,338,219,lime
184,126,139,295,63,421,202,lime
185,119,142,121,98,240,240,lime
186,122,139,251,73,373,212,lime
187,120,134,199,38,319,172,lime
188,122,138,254,82,376,220,lime
189,117,156,338,77,455,233,lime
190,103,137,367,91,470,228,lime
191,152,164,310,10,462,174,lime
192,120,137,190,84,310,221,lime
193,123,136,251,57,374,193,lime
194,121,136,245,40,366,176,lime
195,117,132,294,74,411,206,lime
196,119,138,311,68,430,206,lime
197,122,136,185,44,307,180,lime
198,124,144,85,47,209,191,lime
199,124,136,315,39,439,175,lime
200,118,155,309,49,427,204,lime
201,128,137,312,55,440,192,lime
202,127,136,221,55,348,191,lime
203,127,146,168,113,295,259,lime
204,123,137,138,66,261,203,lime
205,124,138,217,101,341,239,lime
206,115,132,354,55,469,187,lime
207,123,150,116,119,239,269,lime
208,102,139,368,57,470,196,lime
209,124,148,227,82,351,230,lime
210,125,149,228,82,353,231,lime
211,124,149,229,81,353,230,lime
212,124,150,227,81,351,231,lime
213,124,151,226,80,350,231,lime
214,124,150,227,81,351,231,lime
215,124,151,225,80,349,231,lime
216,124,150,226,80,350,230,lime
217,123,151,227,79,350,230,lime
218,124,150,226,80,350,230,lime
219,126,152,226,80,352,232,lime
220,124,150,222,80,346,230,lime
221,123,151,221,80,344,231,lime
222,123,151,220,79,343,230,lime
223,125,150,219,80,344,230,lime
224,124,150,219,80,343,230,lime
225,123,151,219,79,342,230,lime
226,122,151,219,80,341,231,lime
227,123,151,219,80,342,231,lime
228,123,151,218,80,341,231,lime
229,122,151,218,80,340,231,lime
230,121,151,217,80,338,231,lime
231,123,150,215,81,338,231,lime
232,123,151,214,80,337,231,lime
233,122,150,212,81,334,231,lime
234,122,151,212,81,334,232,lime
235,123,150,212,81,335,231,lime
236,122,150,212,81,334,231,lime
237,123,150,212,81,335,231,lime
238,123,149,212,83,335,232,lime
239,122,147,213,83,335,230,lime
240,122,148,214,83,336,231,lime
241,122,148,215,83,337,231,lime
242,123,147,216,84,339,231,lime
243,122,146,216,83,338,229,lime
244,121,147,216,84,337,231,lime
245,122,147,217,83,339,230,lime
246,121,147,218,83,339,230,lime
247,121,147,219,83,340,230,lime
248,122,147,220,83,342,230,lime
249,121,148,223,83,344,231,lime
250,121,148,223,83,344,231,lime
251,121,148,223,83,344,231,lime
252,120,147,223,84,343,231,lime
253,120,147,224,83,344,230,lime
254,119,147,226,83,345,230,lime
255,121,148,229,82,350,230,lime
256,122,147,229,83,351,230,lime
257,122,148,231,83,353,231,lime
258,122,147,231,83,353,230,lime
259,126,148,230,83,356,231,lime
260,124,148,230,82,354,230,lime
261,124,149,230,82,354,231,lime
262,125,149,231,82,356,231,lime
263,125,149,230,81,355,230,lime
264,125,149,231,81,356,230,lime
265,125,149,229,80,354,229,lime
266,124,151,219,79,343,230,lime
267,124,151,218,79,342,230,lime
268,124,150,224,79,348,229,lime
269,124,149,233,79,357,228,lime
270,123,149,233,79,356,228,lime
271,122,150,231,78,353,228,lime
272,122,150,233,77,355,227,lime
273,124,152,231,77,355,229,lime
274,123,150,230,78,353,228,lime
275,124,151,224,78,348,229,lime
276,123,151,225,77,348,228,lime
277,123,151,221,77,344,228,lime
278,123,150,220,78,343,228,lime
279,126,130,227,81,353,211,lime
280,126,130,227,80,353,210,lime
281,126,130,228,80,354,210,lime
282,126,131,230,80,356,211,lime
283,124,129,228,81,352,210,lime
284,123,130,233,80,356,210,lime
285,121,129,233,81,354,210,lime
286,121,130,234,80,355,210,lime
287,122,130,233,80,355,210,lime
288,120,130,234,80,354,210,lime
289,120,129,235,81,355,210,lime
290,121,128,235,81,356,209,lime
291,122,130,239,81,361,211,lime
292,124,128,237,81,361,209,lime
293,123,129,237,81,360,210,lime
294,123,130,239,80,362,210,lime
295,126,130,239,80,365,210,lime
296,125,130,244,79,369,209,lime
297,127,130,243,79,370,209,lime
298,124,129,244,80,368,209,lime
299,124,130,245,79,369,209,lime
300,123,130,245,80,368,210,lime
301,123,129,245,80,368,209,lime
302,125,129,245,79,370,208,lime
303,125,131,246,79,371,210,lime
304,125,130,249,80,374,210,lime
305,124,130,248,80,372,210,lime
306,125,130,247,80,372,210,lime
307,126,132,248,79,374,211,lime
308,123,132,243,79,366,211,lime
309,123,131,243,80,366,211,lime
310,124,132,243,79,367,211,lime
311,124,132,243,79,367,211,lime
312,122,131,243,79,365,210,lime
313,123,132,245,79,368,211,lime
314,125,132,243,80,368,212,lime
315,127,132,240,79,367,211,lime
316,126,132,239,80,365,212,lime
317,125,132,239,80,364,212,lime
318,124,132,238,80,362,212,lime
319,127,132,235,80,362,212,lime
320,125,131,234,80,359,211,lime
321,126,131,233,80,359,211,lime
322,126,132,234,80,360,212,lime
323,125,131,233,80,358,211,lime
324,125,132,235,80,360,212,lime
325,124,132,235,80,359,212,lime
326,127,131,234,80,361,211,lime
327,126,131,234,81,360,212,lime
328,126,130,233,81,359,211,lime
329,126,131,232,81,358,212,lime
330,124,130,232,81,356,211,lime
331,125,130,231,81,356,211,lime
332,124,129,231,81,355,210,lime
333,122,129,236,81,358,210,lime
334,121,129,237,81,358,210,lime
335,121,128,236,81,357,209,lime
336,119,128,239,81,358,209,lime
337,119,128,244,81,363,209,lime
338,121,128,246,80,367,208,lime
339,121,127,244,81,365,208,lime
340,122,128,243,80,365,208,lime
341,121,128,245,80,366,208,lime
342,121,128,245,79,366,207,lime
343,121,128,242,79,363,207,lime
344,122,127,241,79,363,206,lime
345,122,127,237,79,359,206,lime
346,122,128,237,79,359,207,lime
347,121,128,237,79,358,207,lime
348,122,128,236,79,358,207,lime
349,130,129,217,72,347,201,lime
350,130,128,217,73,347,201,lime
351,130,129,217,72,347,201,lime
352,130,128,217,73,347,201,lime
353,130,128,218,73,348,201,lime
354,129,128,219,73,348,201,lime
355,128,129,222,72,350,201,lime
356,127,128,223,72,350,200,lime
357,128,129,223,72,351,201,lime
358,129,129,222,72,351,201,lime
359,128,128,222,72,350,200,lime
360,128,129,221,71,349,200,lime
361,126,130,222,72,348,202,lime
362,127,129,222,72,349,201,lime
363,127,132,222,71,349,203,lime
364,128,129,222,72,350,201,lime
365,126,130,224,72,350,202,lime
366,128,131,221,71,349,202,lime
367,132,129,219,71,351,200,lime
368,132,129,217,71,349,200,lime
369,133,130,215,71,348,201,lime
370,132,129,213,71,345,200,lime
371,132,131,213,71,345,202,lime
372,130,130,214,71,344,201,lime
373,129,129,213,71,342,200,lime
374,130,130,214,71,344,201,lime
375,129,130,214,71,343,201,lime
376,128,130,215,71,343,201,lime
377,128,128,216,71,344,199,lime
378,129,130,216,71,345,201,lime
379,128,131,216,71,344,202,lime
380,128,131,215,70,343,201,lime
381,128,131,214,71,342,202,lime
382,128,130,214,71,342,201,lime
383,128,130,215,71,343,201,lime
384,128,130,215,72,343,202,lime
385,127,131,215,71,342,202,lime
386,126,130,215,72,341,202,lime
387,126,130,215,72,341,202,lime
388,126,130,215,72,341,202,lime
389,126,130,215,71,341,201,lime
390,126,130,218,72,344,202,lime
391,127,129,218,72,345,201,lime
392,128,130,218,72,346,202,lime
393,129,130,217,72,346,202,lime
394,129,129,217,72,346,201,lime
395,131,130,217,72,348,202,lime
396,131,129,217,72,348,201,lime
397,132,129,217,72,349,201,lime
398,130,128,220,73,350,201,lime
399,130,129,220,72,350,201,lime
400,132,128,220,72,352,200,lime
401,131,128,222,72,353,200,lime
402,130,129,221,71,351,200,lime
403,128,127,225,72,353,199,lime
404,129,128,224,72,353,200,lime
405,127,128,225,72,352,200,lime
406,128,128,225,72,353,200,lime
407,129,128,225,72,354,200,lime
408,129,128,224,72,353,200,lime
409,129,128,225,71,354,199,lime
410,129,128,226,71,355,199,lime
411,129,128,226,71,355,199,lime
412,128,128,225,71,353,199,lime
413,128,128,222,70,350,198,lime
414,128,128,225,69,353,197,lime
415,128,128,228,69,356,197,lime
416,129,128,225,70,354,198,lime
417,130,129,225,69,355,198,lime
418,129,128,225,70,354,198,lime
